Day,Volume (In Mn.),Value (In Cr.)
"April 01, 2026",739.02,105071.07
"April 02, 2026",783.74,125111.99
"April 03, 2026",748.18,101165.26
"April 04, 2026",775.27,111899.57
"April 05, 2026",757.98,88194.87
"April 06, 2026",757.55,111242.92
"April 07, 2026",744.81,107032.89
"April 08, 2026",769.76,109088.26
"April 09, 2026",759.85,105437.82
"April 10, 2026",780.68,107022.99
"April 11, 2026",770.01,96157.79
"April 12, 2026",757.52,77982.2
"April 13, 2026",775.59,104205.51
"April 14, 2026",739.73,87362.63
"April 15, 2026",761.75,98877.82
"April 16, 2026",744.36,96594.6
"April 17, 2026",748.01,91887.9
"April 18, 2026",755.52,93482.06
"April 19, 2026",738.89,79012.63
"April 20, 2026",738.02,101417.94
"April 21, 2026",719.46,91391.57
"April 22, 2026",729.4,91205.61
"April 23, 2026",706.94,85193.86
"April 24, 2026",728.38,89131.2
"April 25, 2026",729.18,85213.1
"April 26, 2026",708.25,69044.68
"April 27, 2026",719.9,93068.62
"April 28, 2026",712.47,90032.0
"April 29, 2026",701.91,91198.31
"April 30, 2026",744.67,119260.38
Total,22346.8,2902988.05
