Day,Volume (In Mn.),Value (In Cr.)
"August 01, 2021",113.98,17991.95
"August 02, 2021",120.23,25029.23
"August 03, 2021",120.08,23649.82
"August 04, 2021",119.13,24030.66
"August 05, 2021",118.34,23718.76
"August 06, 2021",110.52,21095.72
"August 07, 2021",122.25,22910.2
"August 08, 2021",112.77,16658.61
"August 09, 2021",123.51,24086.79
"August 10, 2021",124.7,24240.48
"August 11, 2021",121.83,23627.85
"August 12, 2021",118.73,22704.03
"August 13, 2021",115.28,20953.57
"August 14, 2021",114.78,19317.55
"August 15, 2021",106.29,14679.03
"August 16, 2021",113.7,21637.92
"August 17, 2021",114.53,21311.21
"August 18, 2021",114.18,21660.34
"August 19, 2021",114.87,20696.02
"August 20, 2021",111.51,18706.14
"August 21, 2021",117.35,19530.45
"August 22, 2021",106.05,13242.53
"August 23, 2021",108.6,19805.16
"August 24, 2021",109.72,19853.25
"August 25, 2021",113.97,20927.52
"August 26, 2021",111.4,19824.58
"August 27, 2021",110.6,19367.36
"August 28, 2021",110.81,18119.46
"August 29, 2021",106.73,14334.35
"August 30, 2021",109.17,19281.64
"August 31, 2021",119.91,26124.77
Total,3555.55,639116.95
