Day,Volume (In Mn.),Value (In Cr.)
"December 01, 2021",153.1,33487.99
"December 02, 2021",152.43,31446.32
"December 03, 2021",148.01,28800.98
"December 04, 2021",154.25,29534.27
"December 05, 2021",147.84,23634.62
"December 06, 2021",148.87,30143.74
"December 07, 2021",153.6,30111.47
"December 08, 2021",151.0,28889.73
"December 09, 2021",145.27,27977.02
"December 10, 2021",138.28,25540.08
"December 11, 2021",145.1,25827.58
"December 12, 2021",139.21,20023.23
"December 13, 2021",140.71,26943.56
"December 14, 2021",148.48,28016.55
"December 15, 2021",151.25,28838.73
"December 16, 2021",145.7,26447.76
"December 17, 2021",146.12,24999.17
"December 18, 2021",145.12,24668.99
"December 19, 2021",140.21,19087.16
"December 20, 2021",148.94,29184.65
"December 21, 2021",146.78,27086.37
"December 22, 2021",148.99,26892.86
"December 23, 2021",149.46,26454.72
"December 24, 2021",149.12,25817.61
"December 25, 2021",144.89,22122.87
"December 26, 2021",135.73,17623.74
"December 27, 2021",143.64,26037.07
"December 28, 2021",144.56,26113.2
"December 29, 2021",142.08,25271.47
"December 30, 2021",149.15,27540.86
"December 31, 2021",168.4,32283.86
Total,4566.3,826848.23
