Day,Volume (In Mn.),Value (In Cr.)
"February 01, 2025",604.75,99835.69
"February 02, 2025",591.6,75620.6
"February 03, 2025",582.39,93245.74
"February 04, 2025",576.42,91126.6
"February 05, 2025",585.68,89847.56
"February 06, 2025",579.32,85577.46
"February 07, 2025",582.16,83661.64
"February 08, 2025",584.84,78394.48
"February 09, 2025",584.69,67170.58
"February 10, 2025",592.82,92183.3
"February 11, 2025",581.06,85320.26
"February 12, 2025",589.43,82436.06
"February 13, 2025",574.28,77947.95
"February 14, 2025",587.24,77266.11
"February 15, 2025",571.05,76162.54
"February 16, 2025",553.05,59017.87
"February 17, 2025",562.43,77737.39
"February 18, 2025",557.12,73824.81
"February 19, 2025",564.76,73200.56
"February 20, 2025",562.12,74075.68
"February 21, 2025",564.77,71739.87
"February 22, 2025",565.47,67795.92
"February 23, 2025",560.54,54660.38
"February 24, 2025",563.48,75820.65
"February 25, 2025",576.5,76593.92
"February 26, 2025",552.08,62994.82
"February 27, 2025",555.48,75714.97
"February 28, 2025",600.66,97508.29
Total,16106.19,2196481.7
