Day,Volume (In Mn.),Value (In Cr.)
"January 01, 2026",731.33,97973.88
"January 02, 2026",741.92,111666.3
"January 03, 2026",722.63,104168.76
"January 04, 2026",718.8,88995.71
"January 05, 2026",726.19,112669.2
"January 06, 2026",703.83,101079.76
"January 07, 2026",719.17,102912.23
"January 08, 2026",714.02,99947.31
"January 09, 2026",717.19,98968.86
"January 10, 2026",723.32,94813.91
"January 11, 2026",713.06,75929.99
"January 12, 2026",721.64,101749.38
"January 13, 2026",735.89,99183.09
"January 14, 2026",709.52,87279.23
"January 15, 2026",666.52,79204.83
"January 16, 2026",675.31,82616.91
"January 17, 2026",684.4,81727.86
"January 18, 2026",679.6,66253.55
"January 19, 2026",695.28,93021.38
"January 20, 2026",681.76,93029.83
"January 21, 2026",702.91,94939.41
"January 22, 2026",696.78,89962.31
"January 23, 2026",661.82,81271.05
"January 24, 2026",683.79,80392.72
"January 25, 2026",672.66,66779.51
"January 26, 2026",654.41,67965.97
"January 27, 2026",667.9,84612.25
"January 28, 2026",679.23,89735.29
"January 29, 2026",675.63,93285.24
"January 30, 2026",700.73,103462.71
"January 31, 2026",726.22,107882.83
Total,21703.46,2833481.26
