Day,Volume (In Mn.),Value (In Cr.)
"July 01, 2025",653.51,110062.3
"July 02, 2025",665.0,104976.26
"July 03, 2025",644.7,95041.19
"July 04, 2025",648.31,92737.86
"July 05, 2025",656.14,92883.49
"July 06, 2025",623.42,69207.26
"July 07, 2025",641.58,95194.06
"July 08, 2025",648.14,89965.21
"July 09, 2025",638.14,87860.16
"July 10, 2025",655.57,90757.83
"July 11, 2025",646.05,85108.8
"July 12, 2025",644.63,77724.93
"July 13, 2025",634.89,64248.65
"July 14, 2025",628.68,86145.07
"July 15, 2025",634.67,84602.21
"July 16, 2025",631.36,81454.6
"July 17, 2025",618.25,76195.17
"July 18, 2025",621.39,73841.65
"July 19, 2025",624.44,72515.93
"July 20, 2025",625.29,60707.39
"July 21, 2025",612.67,77296.08
"July 22, 2025",609.65,73274.46
"July 23, 2025",609.41,72901.37
"July 24, 2025",602.25,70319.08
"July 25, 2025",597.44,72926.31
"July 26, 2025",603.24,67031.53
"July 27, 2025",609.43,55840.25
"July 28, 2025",607.6,76306.71
"July 29, 2025",590.85,73041.58
"July 30, 2025",607.73,79458.74
"July 31, 2025",633.53,98871.97
Total,19467.95,2508498.1
