Day,Volume (In Mn.),Value (In Cr.)
"June 01, 2026",784.73,126017.27
"June 02, 2026",795.56,121338.4
"June 03, 2026",785.13,115092.87
"June 04, 2026",764.08,111592.07
"June 05, 2026",776.48,108318.08
"June 06, 2026",775.38,103888.84
"June 07, 2026",773.73,83853.82
"June 08, 2026",763.17,106344.92
"June 09, 2026",771.53,107514.2
"June 10, 2026",791.63,110285.66
"June 11, 2026",765.4,102421.42
"June 12, 2026",770.99,96505.61
"June 13, 2026",761.05,89190.81
"June 14, 2026",762.82,76045.15
"June 15, 2026",770.58,100667.03
"June 16, 2026",760.1,95816.46
"June 17, 2026",759.66,93717.69
"June 18, 2026",740.86,90299.09
"June 19, 2026",737.27,87612.81
"June 20, 2026",755.63,90413.22
"June 21, 2026",752.2,72494.69
"June 22, 2026",741.41,91881.57
"June 23, 2026",726.04,88769.18
"June 24, 2026",737.42,88749.07
"June 25, 2026",736.47,91889.96
"June 26, 2026",717.01,78222.5
"June 27, 2026",727.88,79907.0
"June 28, 2026",727.63,67383.64
"June 29, 2026",727.11,95436.83
"June 30, 2026",757.13,120468.8
Total,22716.08,2892138.66
