Day,Volume (In Mn.),Value (In Cr.)
"March 01, 2023",301.21,59817.25
"March 02, 2023",281.36,53383.73
"March 03, 2023",294.11,52497.8
"March 04, 2023",298.54,53722.03
"March 05, 2023",287.01,42705.74
"March 06, 2023",297.65,55488.96
"March 07, 2023",278.19,43805.38
"March 08, 2023",260.56,38788.84
"March 09, 2023",273.01,45891.88
"March 10, 2023",291.23,51625.61
"March 11, 2023",282.24,44702.23
"March 12, 2023",272.12,35015.26
"March 13, 2023",284.21,49324.67
"March 14, 2023",285.19,48479.42
"March 15, 2023",285.37,48315.2
"March 16, 2023",280.66,45720.01
"March 17, 2023",278.46,41896.47
"March 18, 2023",275.71,41909.31
"March 19, 2023",267.62,33235.82
"March 20, 2023",276.46,46652.05
"March 21, 2023",282.93,44602.04
"March 22, 2023",273.26,39965.47
"March 23, 2023",271.55,42864.52
"March 24, 2023",271.19,42625.03
"March 25, 2023",274.56,41335.82
"March 26, 2023",269.55,32424.0
"March 27, 2023",275.53,45897.16
"March 28, 2023",275.91,45057.3
"March 29, 2023",278.3,45843.3
"March 30, 2023",266.57,42465.52
"March 31, 2023",295.05,48892.77
Total,8685.3,1404950.59
