Day,Volume (In Mn.),Value (In Cr.)
"May 01, 2024",480.47,81678.5
"May 02, 2024",477.2,82795.98
"May 03, 2024",471.2,77293.8
"May 04, 2024",484.09,77618.21
"May 05, 2024",471.17,61535.54
"May 06, 2024",466.99,77012.19
"May 07, 2024",454.41,71966.72
"May 08, 2024",474.14,74337.94
"May 09, 2024",471.12,74897.09
"May 10, 2024",474.03,74820.95
"May 11, 2024",460.53,64156.46
"May 12, 2024",456.54,51539.62
"May 13, 2024",436.81,64193.58
"May 14, 2024",449.49,67457.42
"May 15, 2024",461.18,69211.71
"May 16, 2024",449.31,65655.99
"May 17, 2024",446.65,61499.98
"May 18, 2024",447.54,60392.39
"May 19, 2024",442.15,48699.88
"May 20, 2024",435.92,62677.84
"May 21, 2024",442.98,63261.77
"May 22, 2024",448.52,62814.11
"May 23, 2024",432.16,59408.9
"May 24, 2024",443.91,59932.38
"May 25, 2024",431.01,55032.22
"May 26, 2024",438.77,45546.42
"May 27, 2024",433.74,63592.61
"May 28, 2024",428.43,61125.12
"May 29, 2024",431.34,61874.15
"May 30, 2024",434.87,65193.76
"May 31, 2024",459.16,77713.82
Total,14035.84,2044937.05
