Day,Volume (In Mn.),Value (In Cr.)
"November 01, 2025",704.22,108113.06
"November 02, 2025",704.01,88237.13
"November 03, 2025",690.33,104487.3
"November 04, 2025",691.39,104828.1
"November 05, 2025",690.84,93513.51
"November 06, 2025",677.77,95130.44
"November 07, 2025",694.82,96328.59
"November 08, 2025",695.68,88350.79
"November 09, 2025",693.64,75982.55
"November 10, 2025",702.13,102018.93
"November 11, 2025",690.78,95430.93
"November 12, 2025",697.35,92633.75
"November 13, 2025",684.65,88130.37
"November 14, 2025",683.09,84751.72
"November 15, 2025",691.67,86252.67
"November 16, 2025",681.82,68114.84
"November 17, 2025",673.91,86746.09
"November 18, 2025",664.76,84795.14
"November 19, 2025",671.07,84412.33
"November 20, 2025",685.18,86690.37
"November 21, 2025",680.48,83048.09
"November 22, 2025",670.66,76278.14
"November 23, 2025",661.59,62917.13
"November 24, 2025",660.53,83598.27
"November 25, 2025",659.39,83111.04
"November 26, 2025",664.84,81897.99
"November 27, 2025",659.96,82358.08
"November 28, 2025",676.12,90124.99
"November 29, 2025",685.57,93645.91
"November 30, 2025",678.75,79704.39
Total,20466.98,2631632.64
