Day,Volume (In Mn.),Value (In Cr.)
"October 01, 2025",705.62,106297.2
"October 02, 2025",656.29,82995.89
"October 03, 2025",674.63,97261.44
"October 04, 2025",676.96,99228.42
"October 05, 2025",678.59,82431.5
"October 06, 2025",676.85,102255.51
"October 07, 2025",646.32,94312.62
"October 08, 2025",700.32,101998.71
"October 09, 2025",709.61,102964.42
"October 10, 2025",717.51,100827.85
"October 11, 2025",691.04,90437.39
"October 12, 2025",693.32,75027.23
"October 13, 2025",687.87,96747.94
"October 14, 2025",685.8,95603.07
"October 15, 2025",699.88,99092.97
"October 16, 2025",692.68,95599.29
"October 17, 2025",712.48,98266.13
"October 18, 2025",754.37,102753.58
"October 19, 2025",739.04,85667.27
"October 20, 2025",717.27,74285.26
"October 21, 2025",602.67,67047.73
"October 22, 2025",615.29,71327.82
"October 23, 2025",611.75,74735.1
"October 24, 2025",617.17,78118.62
"October 25, 2025",622.44,75021.93
"October 26, 2025",614.75,61084.11
"October 27, 2025",608.49,77187.79
"October 28, 2025",597.46,75624.67
"October 29, 2025",617.11,79470.12
"October 30, 2025",620.37,83284.16
"October 31, 2025",656.96,100834.97
Total,20700.92,2727790.71
