Day,Volume (In Mn.),Value (In Cr.)
"September 01, 2023",365.53,66251.46
"September 02, 2023",367.4,61319.8
"September 03, 2023",351.9,48259.6
"September 04, 2023",360.87,65160.82
"September 05, 2023",359.59,62292.52
"September 06, 2023",361.96,59538.75
"September 07, 2023",353.96,56509.07
"September 08, 2023",350.58,55244.15
"September 09, 2023",356.51,52442.49
"September 10, 2023",355.19,43863.43
"September 11, 2023",357.12,58890.66
"September 12, 2023",356.76,57361.62
"September 13, 2023",355.11,55420.78
"September 14, 2023",353.3,52948.4
"September 15, 2023",361.94,52463.74
"September 16, 2023",359.37,51457.19
"September 17, 2023",362.15,39851.59
"September 18, 2023",344.25,46073.95
"September 19, 2023",340.5,46404.94
"September 20, 2023",347.57,51964.82
"September 21, 2023",341.0,50639.38
"September 22, 2023",338.94,47198.39
"September 23, 2023",333.77,44321.27
"September 24, 2023",336.28,36318.66
"September 25, 2023",343.95,52459.32
"September 26, 2023",341.3,49983.7
"September 27, 2023",350.71,51103.2
"September 28, 2023",333.04,46099.97
"September 29, 2023",346.49,54305.47
"September 30, 2023",368.64,62984.04
Total,10555.69,1579133.18
