Day,Volume (In Mn.),Value (In Cr.)
"April 01, 2022",176.0,38167.32
"April 02, 2022",190.44,34757.09
"April 03, 2022",181.67,33265.3
"April 04, 2022",193.3,32036.03
"April 05, 2022",192.14,31339.7
"April 06, 2022",189.19,37401.11
"April 07, 2022",192.49,37184.6
"April 08, 2022",191.59,35133.63
"April 09, 2022",196.38,33429.07
"April 10, 2022",182.96,26380.29
"April 11, 2022",192.09,37147.71
"April 12, 2022",193.43,36141.16
"April 13, 2022",195.94,22271.87
"April 14, 2022",185.43,32609.4
"April 15, 2022",180.74,31888.77
"April 16, 2022",184.72,30212.49
"April 17, 2022",177.61,23899.87
"April 18, 2022",184.71,34476.4
"April 19, 2022",184.84,33348.27
"April 20, 2022",186.4,33512.38
"April 21, 2022",183.36,31649.72
"April 22, 2022",184.13,30687.21
"April 23, 2022",183.04,28361.39
"April 24, 2022",167.91,22341.42
"April 25, 2022",182.16,33631.18
"April 26, 2022",182.04,32293.94
"April 27, 2022",183.28,32147.43
"April 28, 2022",181.48,31645.31
"April 29, 2022",184.96,34089.13
"April 30, 2022",198.63,38589.29
Total,5583.05,970038.48
