Day,Volume (In Mn.),Value (In Cr.)
"August 01, 2022",217.13,43568.17
"August 02, 2022",223.15,42085.99
"August 03, 2022",211.58,38693.87
"August 04, 2022",216.88,40079.82
"August 05, 2022",205.43,35859.8
"August 06, 2022",224.87,39064.52
"August 07, 2022",212.48,29906.75
"August 08, 2022",216.2,39627.08
"August 09, 2022",210.46,34997.87
"August 10, 2022",225.82,41043.38
"August 11, 2022",223.56,36349.91
"August 12, 2022",209.45,33508.36
"August 13, 2022",208.75,32266.78
"August 14, 2022",199.25,25307.67
"August 15, 2022",194.66,25414.14
"August 16, 2022",208.74,35358.46
"August 17, 2022",213.4,36034.3
"August 18, 2022",214.52,35365.86
"August 19, 2022",207.27,31204.93
"August 20, 2022",210.4,33072.27
"August 21, 2022",201.26,25174.59
"August 22, 2022",209.81,35304.68
"August 23, 2022",206.51,33735.52
"August 24, 2022",208.28,33988.13
"August 25, 2022",210.63,34666.38
"August 26, 2022",205.14,32104.76
"August 27, 2022",214.65,31003.69
"August 28, 2022",213.34,24581.62
"August 29, 2022",213.88,36565.66
"August 30, 2022",225.58,40909.83
"August 31, 2022",216.55,36317.38
Total,6579.63,1073162.17
