Day,Volume (In Mn.),Value (In Cr.)
"December 01, 2024",550.45,75107.21
"December 02, 2024",560.5,95915.61
"December 03, 2024",555.38,89993.99
"December 04, 2024",561.98,90193.49
"December 05, 2024",556.27,86499.53
"December 06, 2024",548.02,79287.54
"December 07, 2024",557.79,79101.01
"December 08, 2024",549.66,64347.24
"December 09, 2024",546.61,86326.84
"December 10, 2024",551.38,84053.0
"December 11, 2024",550.58,80326.73
"December 12, 2024",533.34,76196.74
"December 13, 2024",541.16,74454.16
"December 14, 2024",538.88,68218.53
"December 15, 2024",535.77,57635.58
"December 16, 2024",537.84,76984.49
"December 17, 2024",537.2,77394.28
"December 18, 2024",534.22,73236.05
"December 19, 2024",535.43,74296.62
"December 20, 2024",535.27,73223.48
"December 21, 2024",537.95,68924.5
"December 22, 2024",528.54,54933.41
"December 23, 2024",528.22,75243.27
"December 24, 2024",526.97,71475.66
"December 25, 2024",517.43,61906.4
"December 26, 2024",518.4,71169.36
"December 27, 2024",508.58,68528.35
"December 28, 2024",514.91,64526.76
"December 29, 2024",511.23,53660.5
"December 30, 2024",525.29,78391.76
"December 31, 2024",594.74,93147.85
Total,16730.01,2324699.94
