Day,Volume (In Mn.),Value (In Cr.)
"February 01, 2026",742.56,100563.68
"February 02, 2026",771.9,125303.02
"February 03, 2026",741.66,113333.7
"February 04, 2026",744.87,113302.09
"February 05, 2026",741.6,108594.54
"February 06, 2026",732.46,99784.03
"February 07, 2026",750.86,100733.21
"February 08, 2026",743.84,82029.34
"February 09, 2026",748.8,107887.66
"February 10, 2026",724.28,103218.18
"February 11, 2026",748.99,102584.3
"February 12, 2026",720.22,95358.6
"February 13, 2026",742.92,96235.21
"February 14, 2026",761.77,90455.12
"February 15, 2026",715.5,70326.94
"February 16, 2026",723.55,95510.43
"February 17, 2026",722.08,92544.1
"February 18, 2026",725.76,91606.75
"February 19, 2026",699.41,86947.5
"February 20, 2026",701.0,86258.07
"February 21, 2026",697.99,84256.35
"February 22, 2026",703.05,68821.03
"February 23, 2026",700.41,89725.14
"February 24, 2026",698.34,87436.1
"February 25, 2026",709.85,90237.78
"February 26, 2026",695.71,88166.29
"February 27, 2026",731.17,105320.93
"February 28, 2026",753.65,107689.21
Total,20394.2,2684229.3
