Day,Volume (In Mn.),Value (In Cr.)
"January 01, 2025",568.43,81015.79
"January 02, 2025",565.22,94429.32
"January 03, 2025",559.45,86371.9
"January 04, 2025",562.35,87686.56
"January 05, 2025",557.0,70700.73
"January 06, 2025",559.64,92101.54
"January 07, 2025",558.33,86148.85
"January 08, 2025",572.97,86474.61
"January 09, 2025",568.12,85038.14
"January 10, 2025",578.76,86039.63
"January 11, 2025",568.27,76848.16
"January 12, 2025",567.09,63403.0
"January 13, 2025",555.67,78541.07
"January 14, 2025",522.69,66339.87
"January 15, 2025",533.54,72564.96
"January 16, 2025",533.1,71787.04
"January 17, 2025",537.4,71032.39
"January 18, 2025",539.18,68860.95
"January 19, 2025",530.65,56364.25
"January 20, 2025",543.64,78187.93
"January 21, 2025",530.83,72609.39
"January 22, 2025",541.53,72846.1
"January 23, 2025",526.83,69306.15
"January 24, 2025",536.72,69561.04
"January 25, 2025",553.02,67121.44
"January 26, 2025",517.3,51023.09
"January 27, 2025",534.67,74950.26
"January 28, 2025",532.8,72270.63
"January 29, 2025",532.75,70929.65
"January 30, 2025",535.94,76012.84
"January 31, 2025",572.13,91469.83
Total,16996.01,2348037.11
