Day,Volume (In Mn.),Value (In Cr.)
"July 01, 2024",491.89,87154.11
"July 02, 2024",501.62,83635.4
"July 03, 2024",484.56,78649.51
"July 04, 2024",482.12,78683.27
"July 05, 2024",481.21,76238.49
"July 06, 2024",493.94,75111.32
"July 07, 2024",483.0,59336.17
"July 08, 2024",481.16,81314.51
"July 09, 2024",482.9,77115.53
"July 10, 2024",497.65,79215.04
"July 11, 2024",478.59,71809.73
"July 12, 2024",467.41,66726.7
"July 13, 2024",462.29,59489.69
"July 14, 2024",464.72,50682.42
"July 15, 2024",470.23,71054.85
"July 16, 2024",464.17,66028.97
"July 17, 2024",450.93,55967.88
"July 18, 2024",454.71,62967.39
"July 19, 2024",457.8,61525.81
"July 20, 2024",430.64,57542.05
"July 21, 2024",446.38,48180.54
"July 22, 2024",451.97,64897.57
"July 23, 2024",450.45,64321.06
"July 24, 2024",447.29,61048.58
"July 25, 2024",445.32,61610.72
"July 26, 2024",455.68,59531.17
"July 27, 2024",457.27,55364.35
"July 28, 2024",451.75,45136.0
"July 29, 2024",441.72,62312.64
"July 30, 2024",446.22,63738.25
"July 31, 2024",459.97,77902.69
Total,14435.55,2064292.41
