Day,Volume (In Mn.),Value (In Cr.)
"June 01, 2021",97.81,21837.51
"June 02, 2021",98.14,20668.35
"June 03, 2021",92.8,19629.84
"June 04, 2021",90.82,18987.07
"June 05, 2021",92.12,18465.68
"June 06, 2021",85.06,13881.64
"June 07, 2021",95.85,20566.61
"June 08, 2021",95.95,19555.25
"June 09, 2021",95.93,19616.4
"June 10, 2021",96.07,19826.78
"June 11, 2021",94.84,19013.39
"June 12, 2021",91.48,16646.22
"June 13, 2021",85.17,12899.97
"June 14, 2021",97.37,20359.99
"June 15, 2021",96.86,19631.73
"June 16, 2021",95.89,19341.99
"June 17, 2021",91.45,17975.02
"June 18, 2021",96.81,18847.37
"June 19, 2021",92.34,16946.72
"June 20, 2021",86.16,12949.17
"June 21, 2021",96.77,19694.06
"June 22, 2021",93.78,18529.74
"June 23, 2021",88.61,16920.82
"June 24, 2021",90.12,17171.85
"June 25, 2021",93.53,17648.46
"June 26, 2021",92.32,15638.86
"June 27, 2021",85.35,11945.99
"June 28, 2021",95.75,19199.12
"June 29, 2021",97.16,19122.24
"June 30, 2021",105.19,23855.32
Total,2807.52,547373.16
