Day,Volume (In Mn.),Value (In Cr.)
"March 01, 2024",454.63,80825.87
"March 02, 2024",452.08,75429.57
"March 03, 2024",433.88,58334.6
"March 04, 2024",440.04,77261.65
"March 05, 2024",446.94,76244.86
"March 06, 2024",441.83,73298.76
"March 07, 2024",450.12,72473.42
"March 08, 2024",428.23,59151.0
"March 09, 2024",433.56,62712.99
"March 10, 2024",438.19,54675.02
"March 11, 2024",444.61,73454.28
"March 12, 2024",432.39,68580.66
"March 13, 2024",432.01,68886.56
"March 14, 2024",428.91,66622.38
"March 15, 2024",436.62,64856.7
"March 16, 2024",431.58,61213.98
"March 17, 2024",425.88,48305.04
"March 18, 2024",427.94,63687.32
"March 19, 2024",418.61,61251.95
"March 20, 2024",418.42,62350.23
"March 21, 2024",426.27,61972.32
"March 22, 2024",445.61,61822.7
"March 23, 2024",450.5,60705.64
"March 24, 2024",445.97,48265.51
"March 25, 2024",370.72,40085.56
"March 26, 2024",413.1,56389.63
"March 27, 2024",428.46,62182.95
"March 28, 2024",425.94,67414.47
"March 29, 2024",428.3,61279.32
"March 30, 2024",440.27,69087.24
"March 31, 2024",448.43,59531.05
Total,13440.0,1978353.23
