Day,Volume (In Mn.),Value (In Cr.)
"May 01, 2025",627.04,96949.94
"May 02, 2025",637.27,100248.07
"May 03, 2025",638.12,95776.08
"May 04, 2025",627.64,78825.85
"May 05, 2025",629.59,99229.03
"May 06, 2025",608.42,89592.71
"May 07, 2025",615.6,89345.34
"May 08, 2025",622.04,88440.61
"May 09, 2025",613.06,86292.19
"May 10, 2025",617.64,83538.15
"May 11, 2025",602.32,65341.59
"May 12, 2025",558.68,78333.03
"May 13, 2025",605.07,84780.86
"May 14, 2025",609.74,84134.23
"May 15, 2025",606.49,83793.22
"May 16, 2025",603.12,78259.65
"May 17, 2025",605.87,75787.32
"May 18, 2025",595.09,60347.3
"May 19, 2025",594.81,80321.57
"May 20, 2025",584.47,78514.86
"May 21, 2025",591.01,77375.62
"May 22, 2025",589.58,75556.0
"May 23, 2025",591.76,73524.04
"May 24, 2025",585.47,69120.98
"May 25, 2025",583.56,58284.01
"May 26, 2025",578.54,76999.96
"May 27, 2025",577.51,74452.63
"May 28, 2025",581.75,75951.73
"May 29, 2025",579.36,76027.13
"May 30, 2025",599.23,86128.51
"May 31, 2025",617.63,93024.8
Total,18677.45,2514297.01
