Day,Volume (In Mn.),Value (In Cr.)
"November 01, 2024",517.58,74047.52
"November 02, 2024",521.78,75055.57
"November 03, 2024",504.8,63120.41
"November 04, 2024",526.56,89858.79
"November 05, 2024",528.09,85256.12
"November 06, 2024",529.45,81865.72
"November 07, 2024",521.3,77688.12
"November 08, 2024",521.8,74332.91
"November 09, 2024",531.18,73528.63
"November 10, 2024",530.8,62533.33
"November 11, 2024",534.55,82436.94
"November 12, 2024",526.09,77463.41
"November 13, 2024",528.52,75100.7
"November 14, 2024",522.69,73219.2
"November 15, 2024",503.28,63789.6
"November 16, 2024",525.89,69831.22
"November 17, 2024",509.85,54171.35
"November 18, 2024",509.49,70983.16
"November 19, 2024",502.71,69585.3
"November 20, 2024",505.73,67834.29
"November 21, 2024",508.62,70642.19
"November 22, 2024",510.2,66901.25
"November 23, 2024",499.18,60675.87
"November 24, 2024",500.58,51421.51
"November 25, 2024",502.16,71726.73
"November 26, 2024",495.27,70195.84
"November 27, 2024",503.85,68595.69
"November 28, 2024",504.94,71091.2
"November 29, 2024",519.92,77537.16
"November 30, 2024",535.17,84697.68
Total,15482.02,2155187.41
