Day,Volume (In Mn.),Value (In Cr.)
"October 01, 2022",258.65,50382.75
"October 02, 2022",248.36,39039.52
"October 03, 2022",248.02,47218.26
"October 04, 2022",239.69,42082.91
"October 05, 2022",227.2,34258.45
"October 06, 2022",233.15,41501.46
"October 07, 2022",232.97,41204.09
"October 08, 2022",236.57,39710.25
"October 09, 2022",229.06,32190.94
"October 10, 2022",241.0,47027.29
"October 11, 2022",243.49,43642.01
"October 12, 2022",245.08,42412.68
"October 13, 2022",239.99,40387.93
"October 14, 2022",235.27,38748.95
"October 15, 2022",241.63,39499.74
"October 16, 2022",238.49,31327.83
"October 17, 2022",235.71,40125.1
"October 18, 2022",240.26,39917.14
"October 19, 2022",245.87,40856.85
"October 20, 2022",242.7,42218.85
"October 21, 2022",251.4,44598.12
"October 22, 2022",260.81,44832.58
"October 23, 2022",252.01,36622.22
"October 24, 2022",223.33,27690.79
"October 25, 2022",198.83,29351.82
"October 26, 2022",214.45,32555.4
"October 27, 2022",214.96,34451.97
"October 28, 2022",216.24,36086.52
"October 29, 2022",220.81,36208.01
"October 30, 2022",217.29,28111.77
"October 31, 2022",232.11,47325.3
Total,7305.42,1211587.5
