Day,Volume (In Mn.),Value (In Cr.)
2021-05-01,86.24,18140.21
2021-05-02,79.37,13692.47
2021-05-03,87.72,20191.07
2021-05-04,89.31,20005.02
2021-05-05,87.7,19438.15
2021-05-06,85.35,18425.68
2021-05-07,86.31,18247.77
2021-05-08,83.45,16365.41
2021-05-09,79.4,13425.59
2021-05-10,84.92,18772.21
2021-05-11,90.01,18267.37
2021-05-12,85.77,17402.93
2021-05-13,85.17,16038.79
2021-05-14,81.17,14038.22
2021-05-15,80.53,14824.99
2021-05-16,71.28,10804.95
2021-05-17,80.02,15977.6
2021-05-18,80.3,15314.82
2021-05-19,80.3,15542.35
2021-05-20,79.34,15265.44
2021-05-21,80.06,14967.99
2021-05-22,76.95,13312.11
2021-05-23,75.61,11237.42
2021-05-24,80.03,15851.67
2021-05-25,79.93,15027.36
2021-05-26,78.64,12817.62
2021-05-27,77.53,9669.18
2021-05-28,80.23,21033.64
2021-05-29,79.3,14114.81
2021-05-30,76.97,11414.94
2021-05-31,90.66,20732.78
2021-06-01,97.81,21837.51
2021-06-02,98.14,20668.35
2021-06-03,92.8,19629.84
2021-06-04,90.82,18987.07
2021-06-05,92.12,18465.68
2021-06-06,85.06,13881.64
2021-06-07,95.85,20566.61
2021-06-08,95.95,19555.25
2021-06-09,95.93,19616.4
2021-06-10,96.07,19826.78
2021-06-11,94.84,19013.39
2021-06-12,91.48,16646.22
2021-06-13,85.17,12899.97
2021-06-14,97.37,20359.99
2021-06-15,96.86,19631.73
2021-06-16,95.89,19341.99
2021-06-17,91.45,17975.02
2021-06-18,96.81,18847.37
2021-06-19,92.34,16946.72
2021-06-20,86.16,12949.17
2021-06-21,96.77,19694.06
2021-06-22,93.78,18529.74
2021-06-23,88.61,16920.82
2021-06-24,90.12,17171.85
2021-06-25,93.53,17648.46
2021-06-26,92.32,15638.86
2021-06-27,85.35,11945.99
2021-06-28,95.75,19199.12
2021-06-29,97.16,19122.24
2021-06-30,105.19,23855.32
2021-07-01,105.23,23416.77
2021-07-02,108.15,22773.32
2021-07-03,104.45,20784.0
2021-07-04,97.95,16400.08
2021-07-05,109.22,23601.76
2021-07-06,107.72,21426.67
2021-07-07,110.04,23158.49
2021-07-08,108.63,19593.6
2021-07-09,110.29,22376.23
2021-07-10,105.33,17381.76
2021-07-11,98.86,14528.9
2021-07-12,106.98,17865.05
2021-07-13,105.5,26954.63
2021-07-14,106.98,19870.94
2021-07-15,106.82,21013.1
2021-07-16,106.79,21440.28
2021-07-17,103.02,18400.77
2021-07-18,91.51,12743.31
2021-07-19,104.95,20635.1
2021-07-20,107.81,20476.24
2021-07-21,95.49,15421.19
2021-07-22,94.74,15711.85
2021-07-23,104.73,19889.5
2021-07-24,97.81,15607.17
2021-07-25,96.8,12927.13
2021-07-26,105.11,19885.25
2021-07-27,104.07,19262.96
2021-07-28,105.63,19325.52
2021-07-29,104.44,19154.18
2021-07-30,111.75,21272.89
2021-07-31,121.03,22584.56
2021-08-01,113.98,17991.95
2021-08-02,120.23,25029.23
2021-08-03,120.08,23649.82
2021-08-04,119.13,24030.66
2021-08-05,118.34,23718.76
2021-08-06,110.52,21095.72
2021-08-07,122.25,22910.2
2021-08-08,112.77,16658.61
2021-08-09,123.51,24086.79
2021-08-10,124.7,24240.48
2021-08-11,121.83,23627.85
2021-08-12,118.73,22704.03
2021-08-13,115.28,20953.57
2021-08-14,114.78,19317.55
2021-08-15,106.29,14679.03
2021-08-16,113.7,21637.92
2021-08-17,114.53,21311.21
2021-08-18,114.18,21660.34
2021-08-19,114.87,20696.02
2021-08-20,111.51,18706.14
2021-08-21,117.35,19530.45
2021-08-22,106.05,13242.53
2021-08-23,108.6,19805.16
2021-08-24,109.72,19853.25
2021-08-25,113.97,20927.52
2021-08-26,111.4,19824.58
2021-08-27,110.6,19367.36
2021-08-28,110.81,18119.46
2021-08-29,106.73,14334.35
2021-08-30,109.17,19281.64
2021-08-31,119.91,26124.77
2021-09-01,126.11,27148.4
2021-09-02,127.67,26154.15
2021-09-03,124.5,23910.41
2021-09-04,123.74,23834.31
2021-09-05,108.89,16861.66
2021-09-06,122.12,24922.42
2021-09-07,113.98,21864.83
2021-09-08,126.41,24634.77
2021-09-09,128.42,24770.65
2021-09-10,120.94,21030.37
2021-09-11,117.88,20129.85
2021-09-12,113.62,15950.87
2021-09-13,120.56,23212.04
2021-09-14,121.43,22629.21
2021-09-15,124.0,23442.74
2021-09-16,120.17,22094.58
2021-09-17,117.22,19888.28
2021-09-18,123.85,20854.06
2021-09-19,118.19,15698.53
2021-09-20,125.27,23232.53
2021-09-21,123.08,22157.2
2021-09-22,123.79,21821.81
2021-09-23,123.22,21377.26
2021-09-24,123.67,20872.26
2021-09-25,120.5,19085.04
2021-09-26,116.82,14906.16
2021-09-27,119.9,20756.07
2021-09-28,120.88,21099.09
2021-09-29,122.38,21981.12
2021-09-30,135.12,28327.61
2021-10-01,137.77,28370.06
2021-10-02,139.11,25337.11
2021-10-03,137.27,21845.73
2021-10-04,139.38,29292.41
2021-10-05,142.99,29189.41
2021-10-06,137.16,26288.98
2021-10-07,144.68,28676.31
2021-10-08,142.18,27623.49
2021-10-09,134.63,24747.41
2021-10-10,135.99,21201.45
2021-10-11,137.83,28260.91
2021-10-12,138.87,27223.76
2021-10-13,137.65,26037.62
2021-10-14,133.42,24029.6
2021-10-15,126.87,18158.34
2021-10-16,128.53,22054.06
2021-10-17,118.51,16615.55
2021-10-18,134.79,25795.4
2021-10-19,130.95,23136.67
2021-10-20,134.83,24614.57
2021-10-21,133.03,24809.26
2021-10-22,136.07,24402.71
2021-10-23,134.4,21969.69
2021-10-24,129.42,16990.59
2021-10-25,133.2,25923.01
2021-10-26,135.03,25081.49
2021-10-27,134.13,25168.12
2021-10-28,136.13,26359.34
2021-10-29,139.18,27747.43
2021-10-30,147.71,29919.39
2021-10-31,146.93,24537.12
2021-11-01,158.76,36035.24
2021-11-02,164.38,34915.78
2021-11-03,164.77,34613.47
2021-11-04,143.48,23307.44
2021-11-05,132.6,22719.01
2021-11-06,136.25,24416.19
2021-11-07,130.93,20543.84
2021-11-08,142.34,28222.58
2021-11-09,137.91,27462.69
2021-11-10,140.38,27572.23
2021-11-11,136.97,26145.08
2021-11-12,136.33,25519.53
2021-11-13,137.71,23325.29
2021-11-14,134.49,18867.22
2021-11-15,137.31,27088.45
2021-11-16,138.16,27011.12
2021-11-17,139.38,25755.18
2021-11-18,134.82,25291.94
2021-11-19,133.91,21545.81
2021-11-20,138.72,24225.89
2021-11-21,131.39,18070.98
2021-11-22,133.85,25248.75
2021-11-23,138.85,25616.77
2021-11-24,137.4,25221.2
2021-11-25,139.25,25459.92
