Masking,Missingness,Method,Variable,RMSE,MAE,N_Masked
random,5,Mean,Volume (In Mn.),19.43810351181668,15.336246356450633,91
random,5,Mean,Value (In Cr.),10146.646618828167,7916.942677642866,101
random,5,Median,Volume (In Mn.),19.546743320833517,14.425879120879127,91
random,5,Median,Value (In Cr.),10419.881400792272,8259.500198019803,101
random,5,KNN,Volume (In Mn.),74.9467770630374,55.235333894099334,91
random,5,KNN,Value (In Cr.),9800.762485535543,7089.580133976346,101
random,5,MICE,Volume (In Mn.),70.74498426648822,53.447319651217896,91
random,5,MICE,Value (In Cr.),9608.502384268413,7245.369653877256,101
random,5,Time-Series Interpolation,Volume (In Mn.),14.958072657334569,8.802344322344325,91
random,5,Time-Series Interpolation,Value (In Cr.),8006.275458474797,5678.368531353134,101
random,10,Mean,Volume (In Mn.),16.846464992879355,13.295546454291575,185
random,10,Mean,Value (In Cr.),9931.86729188382,7545.736512384946,199
random,10,Median,Volume (In Mn.),16.263830093933105,12.434945945945941,185
random,10,Median,Value (In Cr.),10020.34861809749,7565.599899497488,199
random,10,KNN,Volume (In Mn.),98.26876388337354,67.83293773658383,185
random,10,KNN,Value (In Cr.),12038.254944995757,8631.2317946969,199
random,10,MICE,Volume (In Mn.),94.6544628379713,64.93994690351846,185
random,10,MICE,Value (In Cr.),11645.463385873985,8189.1304915588835,199
random,10,Time-Series Interpolation,Volume (In Mn.),10.408501242884258,6.789684684684685,185
random,10,Time-Series Interpolation,Value (In Cr.),7932.2232324345905,5593.29649078727,199
random,20,Mean,Volume (In Mn.),20.352703125142643,15.134886834638404,364
random,20,Mean,Value (In Cr.),9394.74606938436,7092.613734106088,404
random,20,Median,Volume (In Mn.),19.589270858329286,13.90646978021978,364
random,20,Median,Value (In Cr.),9477.937750194444,7091.40292079208,404
random,20,KNN,Volume (In Mn.),111.41506687207887,74.98135327975366,364
random,20,KNN,Value (In Cr.),13512.184670651046,9298.345971018705,404
random,20,MICE,Volume (In Mn.),108.09341719013264,71.09878014844425,364
random,20,MICE,Value (In Cr.),13268.842617757186,9041.287697775879,404
random,20,Time-Series Interpolation,Volume (In Mn.),14.393748118701026,8.830607142857144,364
random,20,Time-Series Interpolation,Value (In Cr.),8055.713916274185,5639.658887788779,404
block,5,Mean,Volume (In Mn.),231.6774076201681,196.94896737638123,96
block,5,Mean,Value (In Cr.),28390.726561231284,24933.263077817373,96
block,5,Median,Volume (In Mn.),222.79489971334903,189.2711979166667,96
block,5,Median,Value (In Cr.),27991.4617247308,24515.089010416665,96
block,5,KNN,Volume (In Mn.),276.74986523628144,276.5601918859649,96
block,5,KNN,Value (In Cr.),33831.228768860696,33578.63946271929,96
block,5,MICE,Volume (In Mn.),276.74986523628144,276.5601918859649,96
block,5,MICE,Value (In Cr.),33831.228768860696,33578.63946271929,96
block,5,Time-Series Interpolation,Volume (In Mn.),9.526940181871195,6.941899699312716,96
block,5,Time-Series Interpolation,Value (In Cr.),4562.264899530079,3614.0082248711333,96
block,10,Mean,Volume (In Mn.),260.08178626929345,240.8355894852881,192
block,10,Mean,Value (In Cr.),31574.932619164025,29457.45369387006,192
block,10,Median,Volume (In Mn.),258.257376906125,239.321015625,192
block,10,Median,Value (In Cr.),31627.47742060254,29485.192213541664,192
block,10,KNN,Volume (In Mn.),281.00676589392816,280.4782928240741,192
block,10,KNN,Value (In Cr.),33902.00267608986,33542.105891203704,192
block,10,MICE,Volume (In Mn.),281.00676589392816,280.4782928240741,192
block,10,MICE,Value (In Cr.),33902.00267608986,33542.105891203704,192
block,10,Time-Series Interpolation,Volume (In Mn.),15.618054900454052,12.938498758635584,192
block,10,Time-Series Interpolation,Value (In Cr.),6256.490950650092,5032.144851575994,192
block,20,Mean,Volume (In Mn.),278.58453716699444,266.9907280313523,384
block,20,Mean,Value (In Cr.),33335.84951886001,31802.370872211013,384
block,20,Median,Volume (In Mn.),278.9723331166216,267.34950520833337,384
block,20,Median,Value (In Cr.),33943.40924471278,32438.62915364583,384
block,20,KNN,Volume (In Mn.),290.06614009317906,288.32365885416664,384
block,20,KNN,Value (In Cr.),34826.61796875022,34252.54119791666,384
block,20,MICE,Volume (In Mn.),290.06614009317906,288.32365885416664,384
block,20,MICE,Value (In Cr.),34826.61796875022,34252.54119791666,384
block,20,Time-Series Interpolation,Volume (In Mn.),11.446412450886358,8.939269683441557,384
block,20,Time-Series Interpolation,Value (In Cr.),5206.147459579228,4038.440492424243,384
