Masking,Missingness,Method,Variable,ACF RMSE,ACF MAE,ACF Correlation
random,5,Mean,Volume (In Mn.),0.0005005146235766342,0.00043346715211538543,0.9998323714504851
random,5,Mean,Value (In Cr.),0.008631942662812558,0.007300447153154832,0.999518984828617
random,5,Median,Volume (In Mn.),0.00046283629467113786,0.000407349353240094,0.9998131368563489
random,5,Median,Value (In Cr.),0.008285076488199119,0.0068863844190644435,0.999454678905102
random,5,KNN,Volume (In Mn.),0.007478011682242461,0.0074609786869941986,0.9969786766888994
random,5,KNN,Value (In Cr.),0.006335025482435732,0.0052853204653675045,0.9996712659183737
random,5,MICE,Volume (In Mn.),0.00686223689496468,0.006839833728089869,0.9970604356736578
random,5,MICE,Value (In Cr.),0.007048554859598255,0.005918986270968289,0.9996934952566567
random,5,Time-Series Interpolation,Volume (In Mn.),6.491835672049862e-05,4.615549356760118e-05,0.9997116520793612
random,5,Time-Series Interpolation,Value (In Cr.),0.00445931706594382,0.0038833351433614476,0.9983659473478922
random,10,Mean,Volume (In Mn.),0.0007750911467496914,0.0006640461315415032,0.9995930449317754
random,10,Mean,Value (In Cr.),0.014544062884608314,0.01308074522596869,0.9993371282319112
random,10,Median,Volume (In Mn.),0.0007290947933782059,0.000630810173146971,0.999621694265477
random,10,Median,Value (In Cr.),0.013987721380842153,0.01250877567619314,0.9994197948216579
random,10,KNN,Volume (In Mn.),0.023819403400535833,0.02376751514533472,0.9817806326328594
random,10,KNN,Value (In Cr.),0.005216485880478394,0.004021070197041976,0.9981584666908864
random,10,MICE,Volume (In Mn.),0.02254835502823943,0.022492446071760753,0.9831431890676133
random,10,MICE,Value (In Cr.),0.005081237392260788,0.004343574722034049,0.9988354159317447
random,10,Time-Series Interpolation,Volume (In Mn.),6.525384464412762e-05,4.7921857224394086e-05,0.999820876274647
random,10,Time-Series Interpolation,Value (In Cr.),0.006588565922690505,0.006376478970079369,0.9942957615043002
random,20,Mean,Volume (In Mn.),0.0019558140210545775,0.001699082590938387,0.9928718770083592
random,20,Mean,Value (In Cr.),0.02973304170597948,0.026645769721410868,0.9976215025351393
random,20,Median,Volume (In Mn.),0.001823273964948106,0.0016109574475244046,0.9949482864699379
random,20,Median,Value (In Cr.),0.02883105644122018,0.02569608649023482,0.9974883616039781
random,20,KNN,Volume (In Mn.),0.058681885854857445,0.058637906817811,0.9342892693675618
random,20,KNN,Value (In Cr.),0.020580270477932882,0.01773456240707811,0.9924160960499755
random,20,MICE,Volume (In Mn.),0.056185936095138764,0.05613147291810706,0.9383208325414283
random,20,MICE,Value (In Cr.),0.018765667068170424,0.015081685825933003,0.9949798890264896
random,20,Time-Series Interpolation,Volume (In Mn.),0.0005545314815595855,0.0005468359430026918,0.9993467299039381
random,20,Time-Series Interpolation,Value (In Cr.),0.012036882694235859,0.011579078017251472,0.9809237604469929
block,5,Mean,Volume (In Mn.),0.018486965480215403,0.016155692364324185,0.31728513302763095
block,5,Mean,Value (In Cr.),0.023695681830969262,0.021883562771485288,0.9717970623670327
block,5,Median,Volume (In Mn.),0.017039704295354945,0.014895426028914376,0.33689489833866776
block,5,Median,Value (In Cr.),0.02283124044361252,0.021158811105249125,0.9748094437455653
block,5,KNN,Volume (In Mn.),0.019387196860940627,0.016993938168303486,0.32384968629653565
block,5,KNN,Value (In Cr.),0.027857408746489037,0.02615338725458865,0.9720099659629302
block,5,MICE,Volume (In Mn.),0.019387196860940648,0.016993938168303507,0.3238496862965347
block,5,MICE,Value (In Cr.),0.02785740874648904,0.026153387254588652,0.97200996596293
block,5,Time-Series Interpolation,Volume (In Mn.),0.00010417479863729445,0.00010006237854535509,0.9999915207942748
block,5,Time-Series Interpolation,Value (In Cr.),0.002208340905566381,0.0021034102129952196,0.9999819161619237
block,10,Mean,Volume (In Mn.),0.02064312517874605,0.018128998280189063,0.31042162245022575
