Method,Variable,ACF RMSE,ACF MAE,ACF Correlation
KNN,Value (In Cr.),0.02804977383854158,0.026233357695988734,0.9824963701206032
KNN,Volume (In Mn.),0.02687953927790837,0.025484557025507063,0.6387594502053818
MICE,Value (In Cr.),0.027843720085072004,0.025950573320896703,0.9830401987132121
MICE,Volume (In Mn.),0.0261490771246929,0.02475078237014336,0.6396720966376114
Mean,Value (In Cr.),0.02856609751404257,0.026626585371772375,0.9838367465246748
Mean,Volume (In Mn.),0.011771237106386145,0.010374900842418953,0.652487807659821
Median,Value (In Cr.),0.028160671250548896,0.026222903020955455,0.9841993168121563
Median,Volume (In Mn.),0.011466029627737582,0.010116478415272917,0.6567206987725129
Time-Series Interpolation,Value (In Cr.),0.005159555924170506,0.004893333200409308,0.9955710245279185
Time-Series Interpolation,Volume (In Mn.),0.00019197750449487236,0.00018147011759037473,0.9998059243139187
