Masking,Missingness,Method,Variable,KS Statistic,KS p-value,Original Variance,Imputed Variance,Variance Ratio
random,5,Mean,Volume (In Mn.),0.07692307692307698,0.9523985757131073,40676.13497606837,40106.1422002106,0.9859870467980026
random,5,Mean,Value (In Cr.),0.1089108910891089,0.5894220314474546,621889781.864886,534034326.9431743,0.8587282546140957
random,5,Median,Volume (In Mn.),0.07692307692307698,0.9523985757131073,40676.13497606837,40048.326779011,0.9845656870440924
random,5,Median,Value (In Cr.),0.1188118811881188,0.4759502583814817,621889781.864886,509613510.94298196,0.8194595341553664
random,5,KNN,Volume (In Mn.),0.09890109890109894,0.7680228510033488,40676.13497606837,37967.215705863746,0.9334027367202314
random,5,KNN,Value (In Cr.),0.04950495049504955,0.9997175049348397,621889781.864886,556907188.3893226,0.8955078610864171
random,5,MICE,Volume (In Mn.),0.08791208791208793,0.876094907225722,40676.13497606837,37212.26152276034,0.9148426108983563
random,5,MICE,Value (In Cr.),0.06930693069306931,0.9698247440733536,621889781.864886,560815180.0353681,0.9017919193874337
random,5,Time-Series Interpolation,Volume (In Mn.),0.05494505494505497,0.9992683499133269,40676.13497606837,40894.707523609926,1.00537348368202
random,5,Time-Series Interpolation,Value (In Cr.),0.04950495049504955,0.9997175049348397,621889781.864886,575853677.9845158,0.9259738538518515
random,10,Mean,Volume (In Mn.),0.04864864864864871,0.9814099076376844,44712.4215571269,44814.80787580878,1.0022898853409463
random,10,Mean,Value (In Cr.),0.07035175879396982,0.709660971848519,654405384.2843574,539789400.2778734,0.8248547662366418
random,10,Median,Volume (In Mn.),0.04864864864864871,0.9814099076376844,44712.4215571269,44609.93237276439,0.997707814052711
random,10,Median,Value (In Cr.),0.07035175879396982,0.709660971848519,654405384.2843574,522260709.7118696,0.7980690902826263
random,10,KNN,Volume (In Mn.),0.10270270270270271,0.28390179676965654,44712.4215571269,37938.317549948406,0.8484961500346486
random,10,KNN,Value (In Cr.),0.10552763819095479,0.2181191079906527,654405384.2843574,495199229.4625833,0.7567163127854177
random,10,MICE,Volume (In Mn.),0.10810810810810811,0.2301935460288021,44712.4215571269,36704.14912204211,0.8208937884329747
random,10,MICE,Value (In Cr.),0.09045226130653272,0.3904129484430216,654405384.2843574,501509166.2528637,0.7663585573968077
random,10,Time-Series Interpolation,Volume (In Mn.),0.032432432432432545,0.9999783961633084,44712.4215571269,44637.80577467603,0.9983312068581314
random,10,Time-Series Interpolation,Value (In Cr.),0.045226130653266305,0.9874413652852956,654405384.2843574,574934853.0960448,0.87856070090985
random,20,Mean,Volume (In Mn.),0.03571428571428581,0.9747240405259932,42376.42954771516,42715.22490436353,1.0079949009452742
random,20,Mean,Value (In Cr.),0.05693069306930687,0.5298946691542069,656180680.126374,593226584.3452979,0.9040598150970374
random,20,Median,Volume (In Mn.),0.04120879120879117,0.917308748844777,42376.42954771516,42893.07318780064,1.0121917689998812
random,20,Median,Value (In Cr.),0.061881188118811825,0.42208172500730406,656180680.126374,578998552.8304908,0.8823767147776758
random,20,KNN,Volume (In Mn.),0.10164835164835168,0.04645976041793289,42376.42954771516,31690.447103723698,0.7478319302016886
random,20,KNN,Value (In Cr.),0.09405940594059403,0.05602370590970751,656180680.126374,502731342.6424806,0.7661477362388351
random,20,MICE,Volume (In Mn.),0.11538461538461531,0.015652529796419404,42376.42954771516,30723.645656551726,0.7250173264823411
random,20,MICE,Value (In Cr.),0.10148514851485146,0.031124896276445782,656180680.126374,508888053.5817524,0.7755303820949826
random,20,Time-Series Interpolation,Volume (In Mn.),0.02197802197802201,0.9999937907003433,42376.42954771516,42603.419406503206,1.0053565121273953
random,20,Time-Series Interpolation,Value (In Cr.),0.0297029702970297,0.994262136471163,656180680.126374,636518577.5017031,0.970035535607534
block,5,Mean,Volume (In Mn.),0.6979166666666667,1.1098077164354968e-22,106.05288990131578,16665.645969189707,157.144666068953
block,5,Mean,Value (In Cr.),0.6979166666666667,1.1098077164354968e-22,17206243.54731578,253951929.12474647,14.759289465268767
block,5,Median,Volume (In Mn.),0.6979166666666667,1.1098077164354968e-22,106.05288990131578,15274.617994339373,144.02830520274077
block,5,Median,Value (In Cr.),0.6979166666666667,1.1098077164354968e-22,17206243.54731578,234249124.90339756,13.614193258350168
block,5,KNN,Volume (In Mn.),1.0,5.540473297192838e-57,106.05288990131578,0.0,0.0
block,5,KNN,Value (In Cr.),1.0,5.540473297192838e-57,17206243.54731578,2.1398727088529693e-22,1.2436605950441723e-29
block,5,MICE,Volume (In Mn.),1.0,5.540473297192838e-57,106.05288990131578,0.0,0.0
block,5,MICE,Value (In Cr.),1.0,5.540473297192838e-57,17206243.54731578,2.1398727088529693e-22,1.2436605950441723e-29
block,5,Time-Series Interpolation,Volume (In Mn.),0.4375,1.2316466263369206e-08,106.05288990131578,8.050672164948441,0.07591186032214439
block,5,Time-Series Interpolation,Value (In Cr.),0.6979166666666667,1.1098077164354968e-22,17206243.54731578,66065.39382268014,0.003839617499369089
block,10,Mean,Volume (In Mn.),0.8697916666666666,1.4686123319091492e-75,298.2832914676047,10079.524519793564,33.79178387834123
block,10,Mean,Value (In Cr.),0.8489583333333334,4.208329326643423e-71,24400001.17232129,154886372.5052254,6.347801846867301
block,10,Median,Volume (In Mn.),0.875,1.0198696749369092e-76,298.2832914676047,10008.776849895696,33.554601066156955
