Method,Variable,RMSE,MAE,KS Statistic,Variance Ratio,ACF RMSE,ACF MAE,ACF Correlation,Variance Error
KNN,Value (In Cr.),22985.17525248052,21065.4074085886,0.5415153324377664,0.403061985018445,0.02804977383854158,0.026233357695988734,0.9824963701206032,0.5969380149815551
KNN,Volume (In Mn.),188.74222984031306,173.90196141244041,0.5505420255420256,0.4216218028260948,0.02687953927790837,0.025484557025507063,0.6387594502053818,0.5783781971739053
MICE,Value (In Cr.),22847.10963360006,20974.845732508613,0.5435407234190756,0.4072801431465374,0.027843720085072004,0.025950573320896703,0.9830401987132121,0.5927198568534626
MICE,Volume (In Mn.),186.8859392529968,172.47469837789768,0.5519008019008019,0.4101256209689454,0.0261490771246929,0.02475078237014336,0.6396720966376114,0.5898743790310546
Mean,Value (In Cr.),20462.46144655861,18124.730094672057,0.451257918269842,4.320119412136665,0.02856609751404257,0.026626585371772375,0.9838367465246748,3.3201194121366653
Mean,Volume (In Mn.),137.83016711438245,124.75699408973371,0.4457178074365575,33.318882421043554,0.011771237106386145,0.010374900842418953,0.652487807659821,32.318882421043554
Median,Value (In Cr.),20580.08602652172,18225.902232652257,0.4537331657945945,4.097352543222118,0.028160671250548896,0.026222903020955455,0.9841993168121563,3.097352543222118
Median,Volume (In Mn.),135.9040756681986,122.7848355995075,0.44750161390786397,31.092657221220225,0.011466029627737582,0.010116478415272917,0.6567206987725129,30.092657221220225
Time-Series Interpolation,Value (In Cr.),6669.852652823829,4932.6529131334255,0.2551140085742243,0.6291190653212392,0.005159555924170506,0.004893333200409308,0.9955710245279185,0.3708809346787608
Time-Series Interpolation,Volume (In Mn.),12.725288258688577,8.873717381879336,0.16145508489258495,0.8493988933230417,0.00019197750449487236,0.00018147011759037473,0.9998059243139187,0.15060110667695825
