Method,Variable,RMSE,RMSE,MAE,MAE
,,mean,std,mean,std
KNN,Value (In Cr.),11825.972928044552,1960.624463971833,8135.601149027754,1256.9073679050825
KNN,Volume (In Mn.),96.21233594254231,13.25933079430272,65.89812419114212,8.1877172732325
MICE,Value (In Cr.),11497.503045542891,2077.957124866208,7880.175177912247,1240.1496108936371
MICE,Volume (In Mn.),93.51786951798677,14.009904377851875,64.28357315837582,8.590731988827311
Mean,Value (In Cr.),9169.001783428836,834.8717608375727,6868.498915265031,603.1502351756751
Mean,Volume (In Mn.),18.351783344341605,1.3505835745426071,14.040060461852146,1.0185104390565514
Median,Value (In Cr.),9279.188315656771,846.542943835657,6891.607122722046,668.7876224161154
Median,Volume (In Mn.),17.813691917204853,1.3636544958313892,13.01374843541836,0.9914741301752608
Time-Series Interpolation,Value (In Cr.),7749.181604634424,570.5485069438596,5439.191557731511,459.2920356048206
Time-Series Interpolation,Volume (In Mn.),11.432490429008462,1.5885174086900014,7.61903019524724,0.6978755364458025
