Seed,Masking,Missingness,Method,Variable,RMSE,MAE,N_Masked
42,random,5,Mean,Volume (In Mn.),19.43810351181668,15.336246356450633,91
42,random,5,Mean,Value (In Cr.),10146.646618828167,7916.942677642866,101
42,random,5,Median,Volume (In Mn.),19.546743320833517,14.425879120879127,91
42,random,5,Median,Value (In Cr.),10419.881400792272,8259.500198019803,101
42,random,5,KNN,Volume (In Mn.),74.9467770630374,55.235333894099334,91
42,random,5,KNN,Value (In Cr.),9800.762485535543,7089.580133976346,101
42,random,5,MICE,Volume (In Mn.),70.74498426648822,53.447319651217896,91
42,random,5,MICE,Value (In Cr.),9608.502384268413,7245.369653877256,101
42,random,5,Time-Series Interpolation,Volume (In Mn.),14.958072657334569,8.802344322344325,91
42,random,5,Time-Series Interpolation,Value (In Cr.),8006.275458474797,5678.368531353134,101
42,random,10,Mean,Volume (In Mn.),16.846464992879355,13.295546454291575,185
42,random,10,Mean,Value (In Cr.),9931.86729188382,7545.736512384946,199
42,random,10,Median,Volume (In Mn.),16.263830093933105,12.434945945945941,185
42,random,10,Median,Value (In Cr.),10020.34861809749,7565.599899497488,199
42,random,10,KNN,Volume (In Mn.),98.26876388337354,67.83293773658383,185
42,random,10,KNN,Value (In Cr.),12038.254944995757,8631.2317946969,199
42,random,10,MICE,Volume (In Mn.),94.6544628379713,64.93994690351846,185
42,random,10,MICE,Value (In Cr.),11645.463385873985,8189.1304915588835,199
42,random,10,Time-Series Interpolation,Volume (In Mn.),10.408501242884258,6.789684684684685,185
42,random,10,Time-Series Interpolation,Value (In Cr.),7932.2232324345905,5593.29649078727,199
42,random,20,Mean,Volume (In Mn.),20.352703125142643,15.134886834638404,364
42,random,20,Mean,Value (In Cr.),9394.74606938436,7092.613734106088,404
42,random,20,Median,Volume (In Mn.),19.589270858329286,13.90646978021978,364
42,random,20,Median,Value (In Cr.),9477.937750194444,7091.40292079208,404
42,random,20,KNN,Volume (In Mn.),111.41506687207887,74.98135327975366,364
42,random,20,KNN,Value (In Cr.),13512.184670651046,9298.345971018705,404
42,random,20,MICE,Volume (In Mn.),108.09341719013264,71.09878014844425,364
42,random,20,MICE,Value (In Cr.),13268.842617757186,9041.287697775879,404
42,random,20,Time-Series Interpolation,Volume (In Mn.),14.393748118701026,8.830607142857144,364
42,random,20,Time-Series Interpolation,Value (In Cr.),8055.713916274185,5639.658887788779,404
123,random,5,Mean,Volume (In Mn.),21.010345260892414,16.168413960233256,100
123,random,5,Mean,Value (In Cr.),6874.0705917549,5292.484726433945,92
123,random,5,Median,Volume (In Mn.),19.816214844162342,14.925350000000003,100
123,random,5,Median,Value (In Cr.),6966.437963900991,5224.011630434783,92
123,random,5,KNN,Volume (In Mn.),85.33977309467498,60.063197142857135,100
123,random,5,KNN,Value (In Cr.),9199.779521524531,6001.4245188493,92
123,random,5,MICE,Volume (In Mn.),84.1268006812485,58.421840915156956,100
123,random,5,MICE,Value (In Cr.),8566.714840620818,5618.701443042314,92
123,random,5,Time-Series Interpolation,Volume (In Mn.),11.92552445969941,8.296116666666665,100
123,random,5,Time-Series Interpolation,Value (In Cr.),6544.115659641331,4518.597336956521,92
123,random,10,Mean,Volume (In Mn.),17.371991543186855,13.158352142859968,194
123,random,10,Mean,Value (In Cr.),8369.841638783068,6387.820765525507,190
123,random,10,Median,Volume (In Mn.),16.106565331514673,11.843273195876286,194
123,random,10,Median,Value (In Cr.),8676.057796851488,6522.645657894735,190
123,random,10,KNN,Volume (In Mn.),86.4332717466628,57.23119900610433,194
123,random,10,KNN,Value (In Cr.),11791.976909308503,7804.240136203223,190
123,random,10,MICE,Volume (In Mn.),85.32021705350144,55.921215447128766,194
123,random,10,MICE,Value (In Cr.),11583.169801825565,7555.609960471846,190
123,random,10,Time-Series Interpolation,Volume (In Mn.),9.353237529146384,6.856314432989693,194
123,random,10,Time-Series Interpolation,Value (In Cr.),6703.425356801021,4794.795657894738,190
123,random,20,Mean,Volume (In Mn.),17.83490600858098,13.533864095684768,385
123,random,20,Mean,Value (In Cr.),9268.895202163721,6836.5641395704515,383
123,random,20,Median,Volume (In Mn.),17.670280758321926,12.804623376623379,385
123,random,20,Median,Value (In Cr.),9154.998405455572,6779.225678851174,383
123,random,20,KNN,Volume (In Mn.),112.89940757941032,75.90944292059731,385
123,random,20,KNN,Value (In Cr.),14142.978240167111,9271.255626337974,383
123,random,20,MICE,Volume (In Mn.),111.31081335005378,75.4606948370427,385
123,random,20,MICE,Value (In Cr.),13960.203628057796,9194.553704010797,383
