Method,Missingness,Variable,RMSE,RMSE,MAE,MAE
,,,mean,std,mean,std
KNN,5,Value (In Cr.),9553.979469729766,1008.0438353877496,6690.001260495606,678.9247198469036
KNN,5,Volume (In Mn.),82.14432082281357,6.965967228359262,57.636751172395165,3.37677638251219
KNN,10,Value (In Cr.),12173.481847658248,962.7218713546272,8325.051340188154,545.7323300693669
KNN,10,Volume (In Mn.),96.06986149287283,7.25382838115169,65.30540741805096,5.896956088703372
KNN,20,Value (In Cr.),13750.457466745642,527.4811896829854,9391.7508463995,375.68712427983314
KNN,20,Volume (In Mn.),110.42282551194053,3.7891367829893796,74.75221398298024,2.1709814486499277
MICE,5,Value (In Cr.),9121.139080281102,1135.614844090152,6510.590818843308,766.2757573427984
MICE,5,Volume (In Mn.),78.34424920908234,7.144241326971657,55.41947966394132,2.7580657314406483
MICE,10,Value (In Cr.),11889.367284888194,1138.2950229756739,8073.546134838104,701.5534017685346
MICE,10,Volume (In Mn.),93.29751446804092,6.165239323041767,63.483677912886904,5.306214008908208
MICE,20,Value (In Cr.),13482.002771459374,594.7315879831805,9056.388580055329,427.49675479742154
MICE,20,Volume (In Mn.),108.91184487683704,3.720669106476884,73.94756189829924,2.604554159013402
Mean,5,Value (In Cr.),9041.388926622287,1322.7710827881813,6753.997244365251,977.7180192362929
Mean,5,Volume (In Mn.),19.03741386647822,1.5786136294610518,14.67996187728284,1.288820103283467
Mean,10,Value (In Cr.),9259.882792541579,764.7687820178478,6989.500567923884,496.0106174078768
Mean,10,Volume (In Mn.),17.739250467299673,1.0398430712356703,13.65493175579878,0.6471223959233396
Mean,20,Value (In Cr.),9205.733631122643,269.3999585209165,6861.998933505958,191.21665988641266
Mean,20,Volume (In Mn.),18.278685699246928,1.322000420722985,13.785287752474824,0.87895608694457
Median,5,Value (In Cr.),9133.425068555654,1353.986942262148,6769.455259886849,1119.293020211157
Median,5,Volume (In Mn.),18.402814808368788,1.567018896167797,13.517589271145521,1.3520207855615964
Median,10,Value (In Cr.),9428.032921384687,700.072496123641,7050.449808523641,448.89580417898594
Median,10,Volume (In Mn.),17.163425060889935,1.2382582144925567,12.716691555886133,0.7205345741751547
Median,20,Value (In Cr.),9276.106957029971,361.3534086862436,6854.9162997556505,243.45824978974343
Median,20,Volume (In Mn.),17.874835882355836,1.2460103250222463,12.80696447922343,0.7825411000051515
Time-Series Interpolation,5,Value (In Cr.),7700.804819015664,841.9223919345762,5297.7426230069705,664.3213513841748
Time-Series Interpolation,5,Volume (In Mn.),11.746867675492101,2.034380236381548,7.71013335941836,0.7955007408826502
Time-Series Interpolation,10,Value (In Cr.),7672.922087718942,618.170682902913,5496.932947444826,503.7852717809864
Time-Series Interpolation,10,Volume (In Mn.),10.707953047135934,1.1730358893166248,7.2063286809002935,0.5396332455234485
Time-Series Interpolation,20,Value (In Cr.),7873.817907168668,136.96256588408127,5522.899102742739,72.55083070548575
Time-Series Interpolation,20,Volume (In Mn.),11.842650564397355,1.5254890359520927,7.94062854542307,0.6542328906793844
