Seed,Missingness,Variable,Winner
42,5,Volume (In Mn.),Time-Series Interpolation
42,5,Value (In Cr.),Time-Series Interpolation
42,10,Volume (In Mn.),Time-Series Interpolation
42,10,Value (In Cr.),Time-Series Interpolation
42,20,Volume (In Mn.),Time-Series Interpolation
42,20,Value (In Cr.),Time-Series Interpolation
123,5,Volume (In Mn.),Time-Series Interpolation
123,5,Value (In Cr.),Time-Series Interpolation
123,10,Volume (In Mn.),Time-Series Interpolation
123,10,Value (In Cr.),Time-Series Interpolation
123,20,Volume (In Mn.),Time-Series Interpolation
123,20,Value (In Cr.),Time-Series Interpolation
456,5,Volume (In Mn.),Time-Series Interpolation
456,5,Value (In Cr.),Time-Series Interpolation
456,10,Volume (In Mn.),Time-Series Interpolation
456,10,Value (In Cr.),Time-Series Interpolation
456,20,Volume (In Mn.),Time-Series Interpolation
456,20,Value (In Cr.),Time-Series Interpolation
789,5,Volume (In Mn.),Time-Series Interpolation
789,5,Value (In Cr.),Time-Series Interpolation
789,10,Volume (In Mn.),Time-Series Interpolation
789,10,Value (In Cr.),Time-Series Interpolation
789,20,Volume (In Mn.),Time-Series Interpolation
789,20,Value (In Cr.),Time-Series Interpolation
2026,5,Volume (In Mn.),Time-Series Interpolation
2026,5,Value (In Cr.),Time-Series Interpolation
2026,10,Volume (In Mn.),Time-Series Interpolation
2026,10,Value (In Cr.),Time-Series Interpolation
2026,20,Volume (In Mn.),Time-Series Interpolation
2026,20,Value (In Cr.),Time-Series Interpolation
